,url,title,address,datePosted,price,propertyType,bedrooms,bathrooms,description,utilities,parking,aggreementType,petFriendly,size,furnished,appliances,a/c,outdoorSpace,amenities
10,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2bd-main-floor-10-mt-royal-ave-2350/1693194390,2BD Main Floor 10 Mt. Royal Ave. $2350,"10 Mount Royal Avenue, Toronto, ON",2024-05-12T20:31:52.000Z,"$2,350",Apartment,Bedrooms: 2,Bathrooms: 1,"2 BDRM MAIN FLOOR, HUGE CLOSETS, DINING, DISHWASHER, LAUNDRY
(OSSINGTON & DAVENPORT)","['No: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",0,1 Year,Yes,750,No,"['', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,,"['', '', '', '', 'Bicycle Parking', '', '']"
11,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/chatsworth-apartments-1-bdrm-available-at-2928-yonge-street-t/1663969893,"Chatsworth Apartments - 1 Bdrm available at 2928 Yonge Street, T","2928 Yonge Street, Toronto, ON, M4R 2K2",2024-05-12T20:19:43.000Z,"$2,030",Apartment,Bedrooms: 1,Bathrooms: 1,,[],,,,,,[],,,[]
12,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/apartment-1-room-for-rent/1693193449,Apartment - 1 Room for rent,"45 Railroad St, Brampton, ON L6X 1S7",2024-05-12T20:19:32.000Z,"$1,400",Apartment,Bedrooms: 2,Bathrooms: 2,"Looking for a Professional couple for another room with a personal bathroom in a 2-bedroom apartment at a prime Downtown Brampton location.
- Walking distance Go station
- Walking distance Bus
- plazas and shops around
Amenities
- Swimming pool
- Gym
- Wifi room
- Party room
- Playing area
Please ping me if interested
- For couples only
- Vegetarians
- Utilities extra",['Not Included'],0,1 Year,No,850,No,[],Yes,,[]
13,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/20-carabob-crt-1-bedroom-w-den-apartment-for-rent/1691725889,20 Carabob Crt. - 1 Bedroom w/Den Apartment for Rent,"20 Carabob Crt., Scarborough, ON, M1T 3N1",2024-05-12T20:17:45.000Z,"$2,315",Apartment,Bedrooms: 1 + Den,Bathrooms: 1,"20 Carabob Crt. is located in close proximity to the Agincourt GO and Mall, making this building the perfect location if you want easy access to transit and shopping. You're also just minutes away from Scarborough Town Centre as well as Leacock High School and numerous other schools and daycare centres. Choose from large 1 Bedroom, 1+Den, 2+Den or 3+Den suites with gleaming hardwood floors, updated kitchens and plenty of storage space.  On-site amenities include laundry facilities, storage lockers, new playground and picnic area, security cameras, controlled entry and on-site staff. Heat and water included, hydro is extra. Call us today to book an appointment to view our available suites.","['No: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",0,1 Year,,672,No,[],No,,[]
14,https://www.kijiji.ca/v-apartments-condos/markham-york-region/44-valley-woods-rd-1-bedroom-apartment-for-rent/1682898020,44 Valley Woods Rd. - 1 Bedroom Apartment for Rent,"44 Valley Woods Rd., North York, ON, M3A 2R6",2024-05-12T20:17:44.000Z,"$2,130",Apartment,Bedrooms: 1,Bathrooms: 1,"44 Valley Woods Rd. in North York is ideally located at York Mills and the DVP, this building not only offers residents fantastic views but easy access to public transit and major highways. The beautifully redecorated 1, 2 and 3 bedroom apartments all have modern kitchens, refinished hardwood floors and generous balconies. Our 3 bedroom suites have 1.5 bathrooms. With transit buses at your door and numerous schools, daycare centres, supermarkets, restaurants and parks nearby you couldn't ask for a better location. This pet-friendly building features new elevators, 24-hour laundry facilities, a new playground-picnic area, security cameras, on-site staff, controlled entry and outdoor or underground parking. Heat and water included, hydro is extra. Call us today to book an appointment to view our available suites.","['No: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",0,1 Year,,650,No,[],No,,[]
15,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/chaplin-crescent-apartments-1-bdrm-available-at-321-chaplin-cr/1670650233,Chaplin Crescent Apartments - 1 Bdrm available at 321 Chaplin Cr,"321 Chaplin Crescent, Toronto, ON, M5P 1B2",2024-05-12T20:15:44.000Z,"$2,195",Apartment,Bedrooms: 1,Bathrooms: 1,,[],,,,,,[],,,[]
16,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/oriole-apartments-2-bdrm-available-at-1-oriole-road-toronto/1670341608,"Oriole Apartments - 2 Bdrm available at 1 Oriole Road , Toronto","1 Oriole Road, Toronto, ON, M4V 2E7",2024-05-12T19:55:43.000Z,"$2,685",Apartment,Bedrooms: 2,Bathrooms: 1,,[],,,,,,[],,,[]
17,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-1-bdrm-w-parking-ask-for-free-may-discount/1693190745,*-*-* ONE (1) Bdrm w/Parking - ask for (Free) May Discount *-*-*,"2756 Old Leslie Street, North York, ON",2024-05-12T19:49:51.000Z,"$2,450",Condo,Bedrooms: 1,Bathrooms: 1,,[],,,,,,[],,,[]
18,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/private-1-bedroom-apartment/1693187808,PRIVATE 1 Bedroom Apartment,"42 Rusholme Dr, Toronto, ON M6J 3J9",2024-05-12T19:39:22.000Z,$900,Apartment,Bedrooms: 1,Bathrooms: 1,Please kindly leave your # for more information.,['Not Included'],2,Month-to-month,Yes,640,Yes,[],Yes,,[]
19,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/2-bedroom-basement-apartment-by-the-lake/1693189818,2 Bedroom Basement Apartment By The Lake,"Pickering, ON L1W 2H8",2024-05-12T19:38:52.000Z,"$1,800",Apartment,Bedrooms: 2 + Den,Bathrooms: 1,"Unique and cozy basement apartment in a quiet Pickering area with separate entrance. This unit features a large living room with a wet bar. Nicely finished large eat-in kitchen with lots of cupboard space. Raised laminate flooring, knotty pine wainscotting throughout with solid pine doors. Separate laundry room with storage. 1 designated parking spot in front of house. Shared yard.",['Not Included'],1,1 Year,No,899,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,,[]
20,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-1-bd-den-condo-for-rent-wilson-keele-downsview-park/1693189755,New 1 BD + DEN condo for rent - Wilson & Keele (Downsview Park),"George Butchart Drive, North York, ON",2024-05-12T19:38:01.000Z,"$2,400",Condo,Bedrooms: 1 + Den,Bathrooms: 1,"1 bed room + 1 DEN, and 1 bathroom unit available for rent for $2400/month. New Unit. Located in Downsview Park (Toronto; 50 George Butchart Dr).","['No: Hydro', 'Yes: Heat', 'No: Water', 'No: Water']",1,1 Year,No,600,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', '', 'Concierge', '24 Hour Security', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']"
21,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/toronto-condo-for-rent/1693189643,Toronto Condo for Rent,"18 Graydon Hall Drive, North York, ON",2024-05-12T19:37:58.000Z,"$2,400",Condo,Bedrooms: 1,Bathrooms: 1,"This condo offers 1 bedroom, 1 full bath, and 1 parking. The condo features floor-to-ceiling large windows to maximize natural sun lights. The condo’s prime location is steps away from the elegant Graydon Hall Park, Betty Sutherland Trail Park; and minutes from the Donalda Golf and Country Club, Fairview Mall, schools, dining, the Don Valley Parkway, and Highway 401.
Building Amenities: 24-Hour concierge service, steam rooms, party room, BBQs, a state-of-the-art fitness facility, fully landscaped outdoor terrace, and more.
Virtual Tour:
https://tour.metareal.com/apps/player?asset=249c5074-f212-409c-afaf-761b83628479&_gl=1*120d5h5*_ga*MTY4MDkwMjA4MS4xNzE0OTE0MjY4*_ga_SKM1DSFZ4R*MTcxNTQ5MjA3NC4yNC4xLjE3MTU0OTIzODYuNDQuMC4w&position=1.86x1.70y-0.85z&rotation=0.19x-78.32y0.00z",['Not Included'],1,1 Year,No,620,No,"['Laundry (In Unit)', '', '', '']",Yes,,"['Gym', '', 'Concierge', '24 Hour Security', '', '', 'Elevator in Building']"
22,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/spacious-walkout-basement-for-rent-near-square-one-mississauga/1692954017,Spacious Walkout Basement For Rent Near Square One Mississauga.,"Mississauga, ON L5C 1N9",2024-05-12T19:30:33.000Z,"$2,000",Basement,Bedrooms: 1 + Den,Bathrooms: 1,"We are seeking working professionals or couples interested in renting near Mississauga Square One. This approximately 900 sq. ft., one-bedroom spacious walkout basement (furnished) is available immediately in Mississauga, conveniently situated between Dundas/Wolfedale and Burnhamthorpe/Wolfedale, with the postal code: L5C.","['Yes: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",1,1 Year,Limited,900,Yes,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",No,,[]
23,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/toronto-condo-for-rent/1693189000,Toronto Condo for Rent,"Graydon Hall Drive, North York, ON",2024-05-12T19:28:45.000Z,"$2,400",Condo,Bedrooms: 1,Bathrooms: 1,"This condo offers 1 bedroom, 1 full bath, and 1 parking. The condo features floor-to-ceiling large windows to maximize natural sun lights. The condo’s prime location is steps away from the elegant Graydon Hall Park, Betty Sutherland Trail Park; and minutes from the Donalda Golf and Country Club, Fairview Mall, schools, dining, the Don Valley Parkway, and Highway 401.
Building Amenities: 24-Hour concierge service, steam rooms, party room, BBQs, a state-of-the-art fitness facility, fully landscaped outdoor terrace, and more.
Virtual Tour:
https://tour.metareal.com/apps/player?asset=249c5074-f212-409c-afaf-761b83628479&_gl=1*120d5h5*_ga*MTY4MDkwMjA4MS4xNzE0OTE0MjY4*_ga_SKM1DSFZ4R*MTcxNTQ5MjA3NC4yNC4xLjE3MTU0OTIzODYuNDQuMC4w&position=1.86x1.70y-0.85z&rotation=0.19x-78.32y0.00z",['Not Included'],1,1 Year,No,620,No,"['Laundry (In Unit)', '', '', '']",Yes,,"['Gym', '', 'Concierge', '24 Hour Security', '', '', 'Elevator in Building']"
24,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-1bd-den-condo-for-rent/1693187826,Brand new 1Bd+den condo for rent,"Toronto, ON M5A 0T8",2024-05-12T19:15:06.000Z,"$2,800",Condo,Bedrooms: 2,Bathrooms: 1,"1Bed+1Den, 1 Bath",['Not Included'],0,1 Year,Yes,700,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', '', '', '24 Hour Security', 'Bicycle Parking', '', 'Elevator in Building']"
25,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-new-bedroom-unit-next-to-glencairn-station/1690872607,1 New Bedroom Unit Next to Glencairn Station,"814 Glencairn Avenue, Toronto, ON, M6B 2A3",2024-05-12T18:57:25.000Z,"$2,150",Apartment,Bedrooms: 1,Bathrooms: 1,"Live In A Beautiful And New 1 Bedroom Unit Only Steps Away From Glencairn Subway Station. This Brand New Unit Features A 4 Piece Modern Bathroom, A Large Open Concept Kitchen With Stainless Steel Appliances And In-Suite Laundry. Includes All Utilities And Internet! Close to TTC, Schools, Places Of Worship, Parks, Restaurants And Much More! Do Not Miss This Bright And Spacious Unit That Checks All The Boxes.","['Yes: Hydro', 'No: Heat', 'Yes: Water', 'Yes: Water']",1,Not Available,Yes,608,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,,[]
26,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-independent-bathroom-and-kitchen-for-rent/1693183853,Basement independent bathroom and kitchen for rent,"Whispering Wood Dr, Mississauga, ON L5C 3Z4",2024-05-12T18:27:27.000Z,"$1,780",House,Bedrooms: 1,Bathrooms: 1,"convenient living environment, with space for activities in the backyard, suitable for quiet, non-smoking people
Convenient transportation, 2 minutes walk to the bus station, 4 minutes to the go train, and major supermarkets, restaurants, banks, 6-8 minutes to UTM,and Sheridan College.",['Not Included'],0,1 Year,No,600,Yes,[],Yes,,[]
27,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-basement-apt-available-mccowan-eglinton/1693183740,Furnished Basement Apt Available McCowan/Eglinton,"Scarborough, ON M1M 2C2",2024-05-12T18:26:11.000Z,"$1,350",Basement,Bedrooms: 1,Bathrooms: 1,"This is a Furnished Self-contained apt (no sharing)
Has a 1 bedroom, living room, dining, kitchen, bath
Has a private entrance, high ceilings and big windows with plenty of light.
Mins to Kennedy, Warden Subway & Bellamy Go
Non smoker, No pets and no spicy cooking.
Rent is Single $1350 Double $1450
Require: Proof of Employment Income, Reference Check, and a Good credit Score Rating.
To view call 416 267 8939","['No: Hydro', 'Yes: Heat', 'No: Water', 'No: Water']",0,Month-to-month,No,700,Yes,"['', 'Laundry (In Building)', '', 'Fridge / Freezer']",Yes,,[]
28,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/location-yonge-and-finch-spacious-basement-apartment/1693183566,LOCATION ! Yonge and Finch spacious basement apartment,"North York, ON M2M",2024-05-12T18:23:58.000Z,"$1,699",Basement,Bedrooms: 1 + Den,Bathrooms: 1,Fully Loaded 2 big rooms plus a large hallway. big washroom. Separate entrance. walking distance from ttc,['Not Included'],1,1 Year,No,900,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,,[]
29,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/one-bedroom-basement-apartment-newly-renovated-july01-2024:/1693183347,One Bedroom Basement Apartment (Newly Renovated) July01/2024:,"Kilbride Crescent, Mississauga, ON",2024-05-12T18:21:28.000Z,"$1,795",Basement,Bedrooms: 1,Bathrooms: 1,"five minutes walk from Winston Churchill and Britannia intersection
Very nice neighborhood.",['Not Included'],2,1 Year,Limited,600,No,"['Laundry (In Unit)', '', '', '']",Yes,,[]
30,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bedrooms-2-bathrooms-45-railroad-street/1667419123,2 Bedrooms + 2 Bathrooms - 45 Railroad Street,"45 Railroad Street, Brampton, ON, L6X 1G4",2024-05-12T18:07:44.000Z,"$2,708",Apartment,Bedrooms: 2,Bathrooms: 2,,['Not Included'],0,1 Year,Yes,844,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['', '', '', '24 Hour Security', '', 'Storage Space', 'Elevator in Building']"
31,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/1-bedroom-den-45-railroad-street/1672729773,1 Bedroom + Den - 45 Railroad Street,"45 Railroad Street, Brampton, ON, L6X 1G4",2024-05-12T18:07:44.000Z,"$2,500",Apartment,Bedrooms: 1,Bathrooms: 1,,['Not Included'],0,1 Year,Yes,657,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['', '', '', '24 Hour Security', '', 'Storage Space', 'Elevator in Building']"
32,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-toronto-16-yonge-1-bedroom-condo-yonge-lakeshore/1693181844,Downtown Toronto 16 Yonge 1-Bedroom Condo (Yonge & Lakeshore),"Toronto, ON M5E 2A1",2024-05-12T18:03:23.000Z,"$2,250",Condo,Bedrooms: 1,Bathrooms: 1,"A beautiful and centrally located 1-bedroom condo on the 12th floor of 16 Yonge Street (Yonge & Lakeshore) is available for rent. It is walking distance to Union Station, the financial district, and lakeshore. The condo is clean, comfortable, and furnished. Inside the building, there is a well-equipped gym, a large swimming pool, a party room, and a business centre with free WiFi. It is a perfect environment for young professionals.","['Yes: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",0,1 Year,No,600,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', 'Pool', 'Concierge', '24 Hour Security', 'Bicycle Parking', '', 'Elevator in Building']"
33,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-plus-one-and-2-washroom-condo-unit-for-rent/1693181519,1 Plus one and 2 Washroom Condo Unit for Rent,"Scarborough, ON M1M",2024-05-12T17:59:35.000Z,"$2,600",Condo,Bedrooms: 1 + Den,Bathrooms: 2,"Spacious 1 Bed Plus Den, 2 Full Bath.
* 1 large bedroom with closet, 1 large den, perfect for office, and 2 full washrooms, one of them with a standing shower.
* 9' smooth ceilings throughout. Laminate flooring, stainless steel appliances, In-Unit Laundry & plenty of storage. Includes underground parking and locker.","['No: Hydro', 'Yes: Heat', 'No: Water', 'No: Water']",1,1 Year,Limited,700,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', '', 'Concierge', '', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']"
34,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/2-bedroom-pickering-town-centre-2300-utilities-included/1693181055,2 Bedroom - Pickering Town Centre 2300$ Utilities Included,"Pickering, ON L1V 5S4",2024-05-12T17:54:13.000Z,"$2,300",Basement,Bedrooms: 2,Bathrooms: 1,"Liverpool & 401
Private 2 bedroom legal basement unit apartment.
Separate Entrance. Steps to Pickering Town Centre, Go Train station, Kingston Road.
2 cars parking with 24h security camera, Extra Storage Room and separate entrance hallway.
Laundry ( Washing / Dryer ) in unit
Separate Outdoor Yard","['Yes: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",2,1 Year,Limited,800,No,"['Laundry (In Unit)', '', '', 'Fridge / Freezer']",Yes,,[]
35,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/big-1-bed-den-2-bath-on-front-st-2300/1693180973,BIG 1 BED+DEN 2 BATH ON FRONT ST 2300$!!!,"135 Lower Sherbourne Street, Toronto, ON",2024-05-12T17:53:14.000Z,"$2,300",Condo,Bedrooms: 1 + Den,Bathrooms: 2,BIG 1 BEDROOM PLUS PROPER DEN WITH A DOOR,"['No: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",0,1 Year,Yes,620,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,Balcony,"['Gym', 'Pool', 'Concierge', '24 Hour Security', 'Bicycle Parking', '', 'Elevator in Building']"
36,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-2-bath-condo-available-for-rent-at-lawrence-and-birchmount/1693180798,2 Bed 2 Bath Condo Available for Rent at Lawrence And Birchmount,"Lawrence Avenue East, Scarborough, ON",2024-05-12T17:51:30.000Z,"$2,999",Condo,Bedrooms: 2,Bathrooms: 2,"Absolutely Stunning 2 Bedroom, 2 Full Bathrooms, Corner Unit Window facing East and South there fore Natural light through out the day, 5 Year Old Located In High Demand Area Of Scarborough, Big Balcony facing East Direction ,Floor To Ceiling High Windows, Upgraded Modern Finishes, Open Concept Layout With Upgraded U-Shape Kitchen. Pot Lights, Very Well Maintained Facing Ne. Building Equipped With 24/7 Concierge, Party Rm, Billiard Rm, Gym, Indoor Swimming Pool. Close To All Amenities, Public Transit, Hospital, Hwy 401 & Dvp. Underground garage parking . corner unit with floor -to-ceiling windows maximize natural light, improve mood and create a seamless indoor-outdoor experience included balcony to enjoy summer time.","['No: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",1,Month-to-month,No,880,No,"['Laundry (In Unit)', '', '', 'Fridge / Freezer']",Yes,,"['Gym', 'Pool', 'Concierge', '24 Hour Security', '', '', 'Elevator in Building']"
37,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/modern-1-den-apartment-little-portugal/1693180210,"Modern 1+ Den Apartment, Little Portugal","Toronto, ON M6J 1X6",2024-05-12T17:44:25.000Z,"$2,800",Apartment,Bedrooms: 1 + Den,Bathrooms: 1,"Newly renovated modern furnished apartment. Bright lower-level flat with front and back entrances. Well-furnished Airbnb-type unit. Kids welcome. 6-8 month lease - possibility to renew.
Monthly $2800.
Large living spaces, main bedroom, plus bed in den (or desk/office). Heated floors throughout, and in shower. Large bathroom with a bath and shower. Large eat-in kitchen. Living room / TV. In suite laundry. Wifi. Desk. Great neighborhood- Dovercourt and Dundas.
Note: the lower level / basement is in an old Victorian house, so you hear noise from our family and dog upstairs from time to time!
Previous tenant references available!","['Yes: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",0,Month-to-month,Limited,900,Yes,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",Yes,,"['', '', '', '', 'Bicycle Parking', '', '']"
38,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-2-bedroom-mimico-near-lakeshore/1691185300,Large 2 Bedroom - Mimico - Near Lakeshore,"146 Sixth Street, Etobicoke, ON",2024-05-12T17:40:37.000Z,"$2,325",Apartment,Bedrooms: 2,Bathrooms: 1,"Large, two bedroom apartment on the second level in a quiet building and neighborhood. The building offers a laundry room, video surveillance, and parking. It is located near public transit, schools, parks, the lake, and easy access to QEW.Great Apartment with key amenities right around the corner. Right on the Corner of Lakeshore and Islington - Steps away from The Lakeshore!","['No: Hydro', 'Yes: Heat', 'Yes: Water', 'Yes: Water']",1,1 Year,Limited,750,No,"['Laundry (In Unit)', '', 'Dishwasher', 'Fridge / Freezer']",No,Balcony,"['', '', '', '24 Hour Security', '', '', '']"
